"","cases_with_vaccination","cases_without_vaccination","without_vaccination_qol_loss","with_vaccination_qol_loss","deaths_without_vaccination","survivors_without_vaccination","deaths_with_vaccination","survivors_with_vaccination","life_years_lost_death_with_vaccination","life_years_lost_death_without_vaccination","number_vaccinated","severity_counts_without_vaccination_low","severity_counts_without_vaccination_medium","severity_counts_without_vaccination_high","severity_counts_with_vaccination_low","severity_counts_with_vaccination_medium","severity_counts_with_vaccination_high","doses_number","total_QALY_loss_no_vaccination","cases_averted","cases_averted_per_dose","deaths_averted","deaths_averted_per_dose","qol_gained","qol_gained_per_dose","total_QALY_gained","total_QALY_gained_per_dose"
"1",70498,146260,1740.59072958662,259.315224353174,6618,139642,2416,68082,11981,32899,102382,69289,74074,2897,63811,5651,1036,102382,34639.5907295866,75762,0.739993358207498,4202,0.0410423707292298,1481.27550523344,0.0144681243307754,22399.2755052334,0.218781382520692
"2",70330,146260,1743.97504451549,251.434079147913,6550,139710,2531,67799,12761.5,32522,102382,69030,74369,2861,63914,5464,952,102382,34265.9750445155,75930,0.741634271649314,4019,0.0392549471586802,1492.54096536758,0.0145781579317417,21253.0409653676,0.207585717854384
"3",70489,146260,1749.01276381084,256.995585554906,6587,139673,2517,67972,12441.5,32987.5,102382,69079,74265,2916,63853,5641,995,102382,34736.5127638108,75771,0.740081264284738,4070,0.0397530815963744,1492.01717825593,0.0145730419239313,22038.0171782559,0.215252848921255
"4",70454,146260,1749.4543316696,253.519171792544,6661,139599,2366,68088,11888,33239.5,102382,68843,74512,2905,63945,5534,975,102382,34988.9543316696,75806,0.740423121251783,4295,0.0419507335273779,1495.93515987705,0.0146113101900437,22847.4351598771,0.22315871110036
"5",70363,146260,1743.72760877725,255.378716720302,6497,139763,2483,67880,12330.5,32291.5,102382,69185,74206,2869,63785,5560,1018,102382,34035.2276087772,75897,0.7413119493661,4014,0.0392061104491024,1488.34889205694,0.0145372125183816,21449.3488920569,0.209503124495096
"6",70470,146260,1741.42868479287,260.28100824939,6509,139751,2488,67982,12620,32473.5,102382,69168,74233,2859,63800,5604,1066,102382,34214.9286847929,75790,0.740266843781133,4021,0.0392744818425114,1481.14767654348,0.0144668757842538,21334.6476765435,0.208382798505045
"7",70414,146260,1750.55255517387,257.280015014238,6574,139686,2477,67937,12404.5,32885,102382,68794,74493,2973,63828,5565,1021,102382,34635.5525551739,75846,0.740813814928405,4097,0.0400167998280948,1493.27254015963,0.0145853034728725,21973.7725401596,0.214625349574726
"8",70454,146260,1750.24299372884,256.410966955493,6646,139614,2513,67941,12652.5,33428,102382,69010,74252,2998,63913,5544,997,102382,35178.2429937288,75806,0.740423121251783,4133,0.0403684241370553,1493.83202677335,0.0145907681699259,22269.3320267734,0.217512180136873
"9",70159,146260,1739.82468778718,253.624554180974,6475,139785,2494,67665,12489,32650.5,102382,68946,74511,2803,63594,5604,961,102382,34390.3246877872,76101,0.743304487116876,3981,0.0388837881658885,1486.20013360621,0.0145162248598993,21647.7001336062,0.211440488890686
"10",70534,146260,1742.43793122548,255.003245825041,6602,139658,2547,67987,12587.5,33040,102382,69043,74372,2845,64008,5498,1028,102382,34782.4379312255,75726,0.739641733898537,4055,0.0396065714676408,1487.43468540043,0.014528283149386,21939.9346854004,0.214294843677604
