"","cases_with_vaccination","cases_without_vaccination","without_vaccination_qol_loss","with_vaccination_qol_loss","deaths_without_vaccination","survivors_without_vaccination","deaths_with_vaccination","survivors_with_vaccination","life_years_lost_death_with_vaccination","life_years_lost_death_without_vaccination","number_vaccinated","severity_counts_without_vaccination_low","severity_counts_without_vaccination_medium","severity_counts_without_vaccination_high","severity_counts_with_vaccination_low","severity_counts_with_vaccination_medium","severity_counts_with_vaccination_high","doses_number","total_QALY_loss_no_vaccination","cases_averted","cases_averted_per_dose","deaths_averted","deaths_averted_per_dose","qol_gained","qol_gained_per_dose","total_QALY_gained","total_QALY_gained_per_dose"
"1",62307,146260,1742.47541237483,176.113896177825,6522,139738,2243,60064,11159.5,32627,102382,69149,74321,2790,58837,2784,686,204764,34369.4754123748,83953,0.40999882791897,4279,0.0208972280283644,1566.361516197,0.00764959424604423,23033.861516197,0.112489800532306
"2",62225,146260,1745.09266313706,173.817054330387,6562,139698,2244,59981,11232,33104,102382,68939,74458,2863,58792,2780,653,204764,34849.0926631371,84035,0.410399288937509,4318,0.021087691195718,1571.27560880667,0.00767359305740596,23443.2756088067,0.114489244246091
"3",62580,146260,1742.35593868888,178.304064675062,6611,139649,2239,60341,11160.5,32828.5,102382,69132,74262,2866,59002,2860,718,204764,34570.8559386889,83680,0.408665585747495,4372,0.0213514094274384,1564.05187401381,0.00763831471359132,23232.0518740138,0.113457697026889
"4",62268,146260,1745.08926315088,178.135931206295,6530,139730,2268,60000,11601,32743,102382,68902,74545,2813,58715,2859,694,204764,34488.0892631509,83992,0.410189291086324,4262,0.020814205622082,1566.95333194459,0.00765248447942308,22708.9533319446,0.110903055868925
"5",62082,146260,1744.39352748797,178.399139078932,6628,139632,2386,59696,12072,32638,102382,69293,74053,2914,58521,2842,719,204764,34382.393527488,84178,0.411097653884472,4242,0.0207165322029263,1565.99438840903,0.00764780131472835,22131.994388409,0.108085378232546
"6",61978,146260,1753.22897217627,177.701282841445,6633,139627,2232,59746,11303,33383.5,102382,68834,74577,2849,58511,2731,736,204764,35136.7289721763,84282,0.411605555664082,4401,0.0214930358852142,1575.52768933483,0.00769435881959146,23656.0276893348,0.115528255402975
"7",62204,146260,1743.99822417109,179.476732047615,6676,139584,2306,59898,11598,33337,102382,69259,74109,2892,58668,2803,733,204764,35080.9982241711,84056,0.410501846027622,4370,0.0213416420855229,1564.52149212347,0.00764060817391471,23303.5214921235,0.113806731125215
"8",62596,146260,1740.41270605578,177.886456023386,6505,139755,2199,60397,10926.5,32443.5,102382,68980,74459,2821,59086,2807,703,204764,34183.9127060558,83664,0.40858744701217,4306,0.0210290871442246,1562.52625003239,0.00763086406806074,23079.5262500324,0.112712812066732
"9",62208,146260,1750.88602112617,175.388769844198,6599,139661,2260,59948,10993,33225.5,102382,68982,74409,2869,58722,2794,692,204764,34976.3860211262,84052,0.410482311343791,4339,0.0211902482858315,1575.49725128197,0.00769421017015671,23807.997251282,0.116270424739124
"10",62488,146260,1738.45549251498,178.439165000484,6556,139704,2255,60233,11275.5,32914,102382,69345,74096,2819,58925,2852,711,204764,34652.455492515,83772,0.409114883475611,4301,0.0210046687894356,1560.01632751449,0.00761860643235379,23198.5163275145,0.113293920452396
"11",62216,146260,1747.29845730156,175.367830534994,6519,139741,2376,59840,11807,32325.5,102382,69003,74428,2829,58771,2752,693,204764,34072.7984573016,84044,0.410443241976129,4143,0.0202330487781055,1571.93062676657,0.00767679194959352,22090.4306267666,0.107882394496916
"12",62549,146260,1744.63317839461,178.012706426458,6425,139835,2325,60224,11775.5,32163.5,102382,69076,74241,2943,59055,2751,743,204764,33908.1331783946,83711,0.408816979547186,4100,0.0200230509269207,1566.62047196815,0.00765085890082315,21954.6204719682,0.107219142388155
"13",62571,146260,1741.34444259784,177.245425873679,6521,139739,2325,60246,11676.5,32843.5,102382,69246,74145,2869,59067,2809,695,204764,34584.8444425978,83689,0.408709538786115,4196,0.0204918833388682,1564.09901672416,0.0076385449430767,22731.0990167242,0.111011208106523
"14",62663,146260,1733.79847382553,180.671391565866,6623,139637,2321,60342,11664.5,33071.5,102382,69440,74094,2726,59107,2812,744,204764,34805.2984738255,83597,0.408260241057999,4302,0.0210095524603934,1553.12708225967,0.00758496162538174,22960.1270822597,0.112129705818697
"15",62155,146260,1734.1759282011,177.726674086831,6491,139769,2237,59918,11366.5,32335.5,102382,69398,73983,2879,58629,2818,708,204764,34069.6759282011,84105,0.410741145904554,4254,0.0207751362544197,1556.44925411427,0.00760118601958485,22525.4492541143,0.11000688233339
"16",62450,146260,1744.00225606515,179.533581065213,6634,139626,2233,60217,10953.5,33107,102382,68924,74494,2842,58919,2810,721,204764,34851.0022560652,83810,0.409300462972007,4401,0.0214930358852142,1564.46867499994,0.00764035023246244,23717.9686749999,0.115830754795765
"17",62207,146260,1753.70568981878,179.348047886613,6504,139756,2210,59997,11205,32453,102382,68858,74493,2909,58663,2798,746,204764,34206.7056898188,84053,0.410487195014749,4294,0.0209704830927311,1574.35764193217,0.00768864469307188,22822.3576419322,0.111456885204099
"18",62139,146260,1738.98741952445,179.70874993946,6728,139532,2301,59838,11484.5,33808,102382,69300,74110,2850,58565,2840,734,204764,35546.9874195244,84121,0.410819284639878,4427,0.0216200113301166,1559.27866958499,0.00761500395374669,23882.778669585,0.116635632579872
"19",62385,146260,1738.39233772863,173.998651878635,6522,139738,2325,60060,11756.5,32865,102382,69297,74158,2805,58992,2756,637,204764,34603.3923377286,83875,0.409617901584263,4197,0.0204967670098259,1564.39368585,0.00763998401012872,22672.89368585,0.110726952422545
"20",62412,146260,1745.68181087503,178.689381394619,6581,139679,2259,60153,11055.5,32752.5,102382,69157,74131,2972,58895,2786,731,204764,34498.181810875,83848,0.409486042468403,4322,0.0211072258795491,1566.99242948041,0.00765267541892328,23263.9924294804,0.113613684189996
"21",62501,146260,1742.27673569512,177.263184582333,6671,139589,2319,60182,11321.5,33057.5,102382,69201,74170,2889,59026,2739,736,204764,34799.7767356951,83759,0.40905139575316,4352,0.0212537360082827,1565.01355111278,0.00764301122811033,23301.0135511128,0.113794483166537
"22",62195,146260,1737.47394444964,177.575585444944,6497,139763,2323,59872,11540.5,32512.5,102382,69431,73984,2845,58732,2729,734,204764,34249.9739444496,84065,0.410545799066242,4174,0.0203844425777969,1559.8983590047,0.00761803031296858,22531.8983590047,0.110038377639647
"23",62136,146260,1747.66750707024,175.396958802683,6628,139632,2282,59854,11313,32879,102382,68897,74517,2846,58676,2791,669,204764,34626.6675070702,84124,0.410833935652752,4346,0.021224433982536,1572.27054826756,0.00767845201435584,23138.2705482676,0.112999699889959
"24",62559,146260,1748.13551370843,179.581177929916,6619,139641,2340,60219,11764,32986.5,102382,69207,74098,2955,58986,2835,738,204764,34734.6355137084,83701,0.408768142837608,4279,0.0208972280283644,1568.55433577852,0.00766030325535015,22791.0543357785,0.111304010156954
"25",62317,146260,1745.1956599095,177.480026693038,6545,139715,2235,60082,11268.5,32943.5,102382,69107,74332,2821,58848,2752,717,204764,34688.6956599095,83943,0.409949991209392,4310,0.0210486218280557,1567.71563321646,0.0076562073080056,23242.7156332165,0.113509775318007
"26",62389,146260,1735.12115401667,179.184905558584,6683,139577,2349,60040,11720.5,33377.5,102382,69319,74166,2775,58836,2808,745,204764,35112.6211540167,83871,0.409598366900432,4334,0.0211658299310426,1555.93624845808,0.00759868066876055,23212.9362484581,0.113364342601522
"27",62327,146260,1754.16920000358,179.984500708241,6573,139687,2275,60052,11708.5,33037.5,102382,68747,74605,2908,58764,2840,723,204764,34791.6692000036,83933,0.409901154499814,4298,0.0209900177765623,1574.18469929534,0.00768780009813902,22903.1846992953,0.111851617956747
"28",61915,146260,1740.68349639871,179.193702091794,6578,139682,2263,59652,11366.5,33146,102382,69184,74244,2832,58392,2787,736,204764,34886.6834963987,84345,0.411913226934422,4315,0.0210730401828446,1561.48979430691,0.00762580235933521,23340.9897943069,0.113989713984426
"29",62348,146260,1753.15972684676,177.611002979439,6451,139809,2217,60131,11182.5,32151.5,102382,68874,74493,2893,58902,2711,735,204764,33904.6597268468,83912,0.409798597409701,4234,0.020677462835264,1575.54872386732,0.00769446154532691,22544.5487238673,0.110100157859132
"30",61915,146260,1744.76411963713,176.15739551031,6551,139709,2274,59641,11659,32531.5,102382,69124,74221,2915,58444,2751,720,204764,34276.2641196371,84345,0.411913226934422,4277,0.0208874606864488,1568.60672412681,0.00766055910280525,22441.1067241268,0.109594981169184
"31",61971,146260,1750.33415545096,177.164531504281,6541,139719,2256,59715,11195,33092.5,102382,68885,74495,2880,58453,2828,690,204764,34842.834155451,84289,0.411639741360786,4285,0.0209265300541111,1573.16962394668,0.00768284280413883,23470.6696239467,0.114623027602248
"32",62189,146260,1743.64964458996,176.961152948788,6667,139593,2308,59881,11417,33185.5,102382,69032,74279,2949,58702,2793,694,204764,34929.14964459,84071,0.410575101091989,4359,0.0212879217049872,1566.68849164117,0.00765119108652485,23335.1884916412,0.11396138233108
"33",62283,146260,1740.67469637822,179.055477156658,6571,139689,2181,60102,11055.5,32729.5,102382,69123,74267,2870,58732,2815,736,204764,34470.1746963782,83977,0.410116036021957,4390,0.0214393155046786,1561.61921922157,0.00762643442803211,23235.6192192216,0.113475118767076
"34",62253,146260,1744.24701904216,178.263764578573,6531,139729,2209,60044,11207.5,32702.5,102382,69082,74372,2806,58741,2792,720,204764,34446.7470190422,84007,0.410262546150691,4322,0.0211072258795491,1565.98325446359,0.00764774694020231,23060.9832544636,0.112622254177803
"35",62376,146260,1749.02530197178,178.97196721904,6625,139635,2270,60106,11399,33132.5,102382,68934,74437,2889,58830,2831,715,204764,34881.5253019718,83884,0.409661854622883,4355,0.0212683870211561,1570.05333475274,0.00766762387310632,23303.5533347527,0.113806886634139
"36",62100,146260,1747.93359896191,173.8175303129,6627,139633,2293,59807,11668.5,33411.5,102382,68863,74615,2782,58667,2758,675,204764,35159.4335989619,84160,0.411009747807232,4334,0.0211658299310426,1574.11606864901,0.00768746492864471,23317.116068649,0.113873122563776
"37",62323,146260,1742.78267358336,176.552699677065,6641,139619,2257,60066,11229.5,33132.5,102382,69132,74271,2857,58843,2762,718,204764,34875.2826735834,83937,0.409920689183646,4384,0.0214100134789318,1566.2299739063,0.00764895183677941,23469.2299739063,0.114615996825156
"38",61996,146260,1738.46635828875,178.90435026929,6607,139653,2203,59793,11214.5,32909.5,102382,69279,74153,2828,58477,2798,721,204764,34647.9663582888,84264,0.411517649586842,4404,0.0215076868980876,1559.56200801946,0.00761638768543036,23254.5620080195,0.113567629114588
"39",62543,146260,1743.33981773678,179.534511591615,6458,139802,2241,60302,11307.5,32453,102382,69276,74119,2865,58990,2807,746,204764,34196.3398177368,83717,0.408846281572933,4217,0.0205944404289817,1563.80530614517,0.0076371105572521,22709.3053061452,0.110904774795106
"40",62213,146260,1742.23614253898,177.883920482585,6616,139644,2188,60025,11119,32970,102382,69160,74153,2947,58698,2783,732,204764,34712.236142539,84047,0.410457892989002,4428,0.0216248950010744,1564.3522220564,0.00763978151460411,23415.3522220564,0.114352875613176
"41",62227,146260,1748.9230576511,180.053710236938,6672,139588,2156,60071,10999,33424,102382,68989,74427,2844,58649,2836,742,204764,35172.9230576511,84033,0.410389521595593,4516,0.0220546580453595,1568.86934741416,0.00766184166852652,23993.8693474142,0.117178162896867
